SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
san jose,13020,tlahuac,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
chinampac de juarez frente vii,9225,iztapalapa,cdmx,19.374571350000004,-99.0514939,19.3771184,-99.0557998,
merced balbuena,15100,venustiano carranza,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
pensil sur,11490,miguel hidalgo,cdmx,19.4464412,-99.1971771,19.4467561,-99.1971739,
quinto sol,55267,ecatepec de morelos,edomex,19.50689695,-99.0251364,19.5073254,-99.0260168,
presidentes,1290,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
el paraiso,9230,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
el pirul santa fe,1230,alvaro obregon,edomex,19.3795555,-99.24045445,19.3791826,-99.2406264,
canada de cisneros,54650,tepotzotlan,cdmx,19.70039445,-99.33917815,19.6967966,-99.3329964,
primavera,14276,tlalpan,cdmx,19.26926465,-99.1544367,19.2692698,-99.1544804,
tejomulco el alto,16450,xochimilco,cdmx,19.2399365,-99.08353075,19.2403173,-99.0844109,
ex-hacienda el rosario,2420,azcapotzalco,cdmx,19.509177599999997,-99.1663131,19.5088946,-99.1660551,
